,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
19,0.04547309875488281,0.006742044087697739,0.012419462203979492,0.0015509323494693197,,entropy,6,sqrt,0.005,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.6717791411042945,0.6430678466076696,0.6945337620578779,0.669793583256614,0.021057729273861434,1
33,0.04303208986918131,0.005388892346701108,0.013801256815592447,0.003155278240002906,,entropy,9,sqrt,0.01,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'best'}",0.6697247706422018,0.6606060606060606,0.6756756756756757,0.6686688356413127,0.006197288311897337,2
31,0.04154515266418457,0.004842974337561078,0.008928934733072916,0.001404955761891786,,entropy,9,sqrt,0.005,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.6627906976744186,0.649390243902439,0.6855345911949685,0.6659051775906087,0.014919304031176283,3
26,0.07149434089660645,0.0024650466736424854,0.010203361511230469,0.002696428886446826,,entropy,9,,0.01,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'random'}",0.6770186335403726,0.6635220125786163,0.6404494382022472,0.6603300281070786,0.015098964325838076,4
57,0.0431520144144694,0.009216345682791678,0.012471357981363932,0.003218614862578704,,gini,6,sqrt,0.01,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'best'}",0.659942363112392,0.6735395189003437,0.6448863636363636,0.6594560818830332,0.011702654363318804,5
55,0.03406564394632975,0.0026146953153858804,0.009773810704549154,0.0023132580408308295,,gini,6,sqrt,0.005,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.6628242074927954,0.659375,0.65,0.6573997358309317,0.005418568436882608,6
30,0.04118887583414713,0.009113844911524935,0.012760321299235025,0.003391121873672891,,entropy,9,sqrt,0.005,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'random'}",0.6563380281690141,0.6606060606060606,0.6515580736543909,0.6561673874764885,0.003695795417665478,7
21,0.043760458628336586,0.003749276715011739,0.014132817586263021,0.0018201046966636997,,entropy,6,sqrt,0.01,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'best'}",0.6837060702875399,0.6397694524495677,0.6438356164383562,0.6557703797251545,0.019823143507761123,8
62,0.09148287773132324,0.003108718383151843,0.012496868769327799,0.0009592268223402659,,gini,9,,0.01,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'random'}",0.655367231638418,0.6687306501547987,0.6424418604651163,0.6555132474194444,0.010732850081046179,9
9,0.03870598475138346,0.005405641691239013,0.011712869008382162,0.0026285026167610984,,entropy,3,sqrt,0.01,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'best'}",0.6666666666666666,0.6420118343195266,0.6535211267605634,0.6540665425822522,0.010072679164628354,10
7,0.033356030782063804,0.001994449316333642,0.013509591420491537,0.0026681578342691585,,entropy,3,sqrt,0.005,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.6666666666666666,0.6420118343195266,0.6535211267605634,0.6540665425822522,0.010072679164628354,10
43,0.02573084831237793,0.005121167204427159,0.008422613143920898,0.0015998624992103827,,gini,3,sqrt,0.005,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.6666666666666666,0.6412429378531074,0.6535211267605634,0.6538102437601124,0.010381207000341914,12
45,0.03136984507242838,0.0032392954509973806,0.012169520060221354,0.0019189787612130134,,gini,3,sqrt,0.01,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'best'}",0.6666666666666666,0.6412429378531074,0.6535211267605634,0.6538102437601124,0.010381207000341914,12
67,0.05187161763509115,0.005548016572904922,0.01491220792134603,0.004874014850226156,,gini,9,sqrt,0.005,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.6432584269662921,0.6677852348993288,0.6434316353887399,0.6514917657514536,0.011521439520707265,14
25,0.09221943219502766,0.006761899079451416,0.010238011678059896,0.0007345227283122994,,entropy,9,,0.005,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.005, 'splitter': 'best'}",0.6424418604651163,0.6586826347305389,0.6446991404011462,0.6486078785322672,0.007183284416772145,15
12,0.06102593739827474,0.0017767507742417492,0.011984825134277344,0.002506002997800918,,entropy,6,,0.005,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.005, 'splitter': 'random'}",0.655367231638418,0.6410256410256411,0.647887323943662,0.6480933988692404,0.0058567428651277445,16
63,0.10758725802103679,0.002690533043923165,0.009384632110595703,0.0018466199203990513,,gini,9,,0.01,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'best'}",0.640117994100295,0.6626865671641791,0.6408045977011494,0.6478697196552078,0.010480842323155042,17
32,0.03259174029032389,0.00549794787830905,0.009469111760457357,0.0015127997377470666,,entropy,9,sqrt,0.01,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'random'}",0.627906976744186,0.6448863636363636,0.6705882352941176,0.6477938585582224,0.017545419210190868,18
